158913790055,TYPE,core\\permissions.py:<module>.CurrentUserOrAdmin<meta>,CurrentUserOrAdmin<meta>,core\\permissions.py:<module>.CurrentUserOrAdmin<meta>
158913790056,TYPE,core\\permissions.py:<module>.CurrentUserOrAdmin,CurrentUserOrAdmin,core\\permissions.py:<module>.CurrentUserOrAdmin
158913790057,TYPE,core\\permissions.py:<module>.CurrentUserOrAdmin.has_object_permission,has_object_permission,core\\permissions.py:<module>.CurrentUserOrAdmin.has_object_permission
158913790058,TYPE,core\\permissions.py:<module>.CurrentUserOrAdmin.<body>,<body>,core\\permissions.py:<module>.CurrentUserOrAdmin.<body>
158913790059,TYPE,core\\permissions.py:<module>.CurrentUserOrAdmin.<metaClassCallHandler>,<metaClassCallHandler>,core\\permissions.py:<module>.CurrentUserOrAdmin.<metaClassCallHandler>
158913790060,TYPE,core\\permissions.py:<module>.CurrentUserOrAdmin.<fakeNew>,<fakeNew>,core\\permissions.py:<module>.CurrentUserOrAdmin.<fakeNew>
158913790061,TYPE,core\\permissions.py:<module>.CurrentUserOrAdmin.has_object_permission<metaClassAdapter>,has_object_permission<metaClassAdapter>,core\\permissions.py:<module>.CurrentUserOrAdmin.has_object_permission<metaClassAdapter>
158913790062,TYPE,core\\permissions.py:<module>.IsAdminOrReadOnly<meta>,IsAdminOrReadOnly<meta>,core\\permissions.py:<module>.IsAdminOrReadOnly<meta>
158913790063,TYPE,core\\permissions.py:<module>.IsAdminOrReadOnly,IsAdminOrReadOnly,core\\permissions.py:<module>.IsAdminOrReadOnly
158913790064,TYPE,core\\permissions.py:<module>.IsAdminOrReadOnly.has_permission,has_permission,core\\permissions.py:<module>.IsAdminOrReadOnly.has_permission
158913790065,TYPE,core\\permissions.py:<module>.IsAdminOrReadOnly.<body>,<body>,core\\permissions.py:<module>.IsAdminOrReadOnly.<body>
158913790066,TYPE,core\\permissions.py:<module>.IsAdminOrReadOnly.<metaClassCallHandler>,<metaClassCallHandler>,core\\permissions.py:<module>.IsAdminOrReadOnly.<metaClassCallHandler>
158913790067,TYPE,core\\permissions.py:<module>.IsAdminOrReadOnly.<fakeNew>,<fakeNew>,core\\permissions.py:<module>.IsAdminOrReadOnly.<fakeNew>
158913790068,TYPE,core\\permissions.py:<module>.IsAdminOrReadOnly.has_permission<metaClassAdapter>,has_permission<metaClassAdapter>,core\\permissions.py:<module>.IsAdminOrReadOnly.has_permission<metaClassAdapter>
158913790069,TYPE,core\\permissions.py:<module>,<module>,core\\permissions.py:<module>
